ZipCode,City,MixedCity,StateCode,County,MixedCounty,Latitude,Longitude
28465,OAK ISLAND,Oak Island,NC,BRUNSWICK,Brunswick,33.907604,-78.124192
28466,WALLACE,Wallace,NC,DUPLIN,Duplin,34.760682,-77.939562
28467,CALABASH,Calabash,NC,BRUNSWICK,Brunswick,33.911555,-78.595532
28502,KINSTON,Kinston,NC,LENOIR,Lenoir,35.2625,-77.5817
28503,KINSTON,Kinston,NC,LENOIR,Lenoir,35.2625,-77.5817
28504,KINSTON,Kinston,NC,LENOIR,Lenoir,35.22683,-77.651097
28508,ALBERTSON,Albertson,NC,DUPLIN,Duplin,35.093107,-77.8212
28509,ALLIANCE,Alliance,NC,PAMLICO,Pamlico,35.1477,-76.8108
28510,ARAPAHOE,Arapahoe,NC,PAMLICO,Pamlico,35.001486,-76.8044
28511,ATLANTIC,Atlantic,NC,CARTERET,Carteret,34.890044,-76.357502
28512,ATLANTIC BEACH,Atlantic Beach,NC,CARTERET,Carteret,34.697271,-76.792974
28529,GRANTSBORO,Grantsboro,NC,PAMLICO,Pamlico,35.093022,-76.877464
28530,GRIFTON,Grifton,NC,PITT,Pitt,35.384636,-77.414483
28531,HARKERS ISLAND,Harkers Island,NC,CARTERET,Carteret,34.665381,-76.542773
28532,HAVELOCK,Havelock,NC,CRAVEN,Craven,34.897706,-76.867361
28533,CHERRY POINT,Cherry Point,NC,CRAVEN,Craven,34.8973,-76.9091
28537,HOBUCKEN,Hobucken,NC,PAMLICO,Pamlico,35.25232,-76.539976
28538,HOOKERTON,Hookerton,NC,GREENE,Greene,35.420665,-77.552571
28539,HUBERT,Hubert,NC,ONSLOW,Onslow,34.660524,-77.259458
28540,JACKSONVILLE,Jacksonville,NC,ONSLOW,Onslow,34.729522,-77.498376
28541,JACKSONVILLE,Jacksonville,NC,ONSLOW,Onslow,34.7538,-77.4309
28542,CAMP LEJEUNE,Camp Lejeune,NC,ONSLOW,Onslow,34.644914,-77.321171
28543,TARAWA TERRACE,Tarawa Terrace,NC,ONSLOW,Onslow,34.735572,-77.378745
28544,MIDWAY PARK,Midway Park,NC,ONSLOW,Onslow,34.73567,-77.312931
